ID,Title,Author,Date,Results
item_RDC6BYMM,The comparison of preoxygenation methods before endotracheal intubation: a network meta-analysis of randomized trials,Ming Zhong,2024/6/7,"The primary outcome of this meta-analysis was low oxygen saturation (SpO 2 ) during ETI. The secondary outcomes included SpO 2 80, SpO 2 90, and apnea time during ETI. NMA was performed using R 4.1.2 software gemtc packages in RStudio. Results A total of 15 randomized controlled trials were included in this study. Regarding the lowest SpO 2 , the noninvasive ventilation (NIV) with high-flow nasal cannula (HFNC) group performed better than the other groups. For SpO 2 80, the NIV group (0.8603467) performed better than the HFNC (0.1373533) and conventional oxygen therapy (COT, 0.0023) groups, according to the surface under the cumulative ranking curve results. For SpO 2 90, the NIV group (0.60932667) performed better than the HFNC (0.37888667) and COT (0.01178667) groups. With regard to apnea time, the HFNC group was superior to the COT group (mean difference: 50.05; 95 confidence interval: 90.01, 10.09; P  0.01)."
item_826AGVUK,The effect of high perioperative inspiratory oxygen fraction for abdominal surgery on surgical site infection: a systematic review and meta-analysis,Jae Hee Kuh,2023/9/20," We included 27 trials involving 15977 patients. The use of high FiO2 significantly reduced the incidence of SSI (n  27, risk ratio (RR): 0.87; 95 confidence interval (CI): 0.79, 0.95; I2  49, Z  3.05). Trial sequential analysis (TSA) revealed that z-curve crossed the trial sequential boundary and data are sufficient. This finding held true for the subgroup of emergency operations (n  2, RR: 0.54; 95 CI: 0.35, 0.84; I2  0, Z  2.75), procedures using air as carrier gas (n  9, RR: 0.79; 95 CI: 0.69, 0.91; I2  60, Z  3.26), and when a high level of FiO2 was maintained for a postoperative 6 h or more (n  9, RR: 0.68; 95 CI: 0.56, 0.83; I2  46, Z  3.83)."
item_AXMS5TCU,The effect of high-flow nasal cannula in reducing the mortality and the rate of endotracheal intubation when used before mechanical ventilation compared with conventional oxygen therapy and noninvasive positive pressure ventilation. A systematic review and meta-analysis,Yue-Nan Ni,22018,NA
item_LNDNCVHH,The Effect of High-Flow Nasal Oxygen Therapy on Postoperative Pulmonary Complications and Hospital Length of Stay in Postoperative Patients: A Systematic Review and Meta-Analysis,Zhonghua Lu,102020,"Fourteen studies (2568 patients) met the inclusion criteria and were included. Compared to the control group, the pooled effect showed that HFNO was significantly associated with a shorter hospital stay (mean difference: 0.81; 95 confidence interval CI: 1.34 to 0.29, P  .002), but not mortality (risk ratio RR: 1.0, 95 CI: 0.63 to 1.59, P  1.0). Weak evidence of a reduction in reintubation rate (RR: 0.76, 95 CI: 0.57-1.01, P  .06) and PPC rate (RR: 0.89, 95 CI: 0.75-1.06, P  .18) with HFNO versus control group was recorded."
item_KVVTX6AM,The effectiveness of high-flow nasal cannula during sedated digestive endoscopy: a systematic review and meta-analysis.,Yu-Xin Zhang,2022 Feb 24," RESULTS: Seven studies that enrolled 2998 patients were included. When compared to SNC, HFNC was associated with a significant reduction in hypoxemia incidence (OR 0.24, 95 CI 0.09 to 0.64) and airway intervention requirements (OR 0.15, 95 CI 0.03 to 0.69), with both high heterogeneity (I(2)  81 and 94). In subgroup analysis, when hypoxemia was defined as pulse oxygen saturation (SpO(2))  90, low risk of hypoxemia subjects who received HFNC were associated with a significant reduction in hypoxemia incidence (OR 0.02, 95 CI 0.00 to 0.07; heterogeneity I(2)  39) and airway intervention requirements (OR 0.02, 95 CI 0.01 to 0.04; heterogeneity I(2)  15). However, in the high risk of hypoxemia subjects, there were no significant differences between the two oxygen administration techniques in both primary (OR 0.81, 95 CI 0.36 to 1.78; heterogeneity I(2)  0) and secondary outcomes (OR 0.85, 95 CI 0.46 to 1.59; heterogeneity I(2)  0)"
item_SDEJN9L4,The Effectiveness of High-Flow Nasal Oxygen During the Intraoperative Period: A Systematic Review and Meta-analysis.,Emily A. Spence,2020 Oct,"RESULTS: Eight randomized controlled trials (RCTs; 4 induction, 4 procedure, 2314 patients) were included for systematic review and meta-analyses. We found the risk of intraoperative O2 desaturation was lower in HFNO versus conventional oxygenation control group; at induction with an odds ratio (OR; 95 confidence interval CI) of 0.06 (0.01-0.59, P  .02), and during procedure, OR (95 CI) of 0.09 (0.05-0.18; P  .001). The minimum O2 saturation was higher in HFNO versus conventional oxygenation; at induction by a mean difference (MD) (95 CI) of 5.1 (3.3-6.9; P  .001), and during procedure, by a MD (95 CI) of 4.0 (1.8-6.2; P  .001). Safe apnea time at induction was longer in HFNO versus conventional oxygenation by a MD (95 CI) of 33.4 seconds (16.8-50.1; P  .001). EtCO2 at induction was not significantly different between HFNO and conventional oxygenation groups."
item_4CF9GFVR,The effectiveness of supplemental oxygen and high-flow nasal cannula therapy in patients with obstructive sleep apnea in different clinical settings: A systematic review and meta-analysis.,Brandon Ruan,2023 Sep,"RESULTS: Twenty-seven oxygen therapy studies were included in the review, with ten randomized controlled trials (RCT), seven randomized crossovers, seven non-randomized crossovers, and three prospective cohorts. Pooled analyses showed that oxygen therapy significantly reduced AHI by 31 and increased SpO(2) by 5 versus baseline, and CPAP significantly reduced AHI by 84, and increased SpO(2) by 3 versus baseline. CPAP was 53 more effective in reducing AHI than oxygen therapy, but both treatments had similar effectiveness in increasing SpO(2). Nine HFNC studies were included in the review, with five prospective cohorts, three randomized crossovers, and one RCT. Pooled analyses showed that HFNC therapy significantly reduced AHI by 36 but did not substantially increase SpO(2"
item_7APDT8KD,The Impact of High-flow Nasal Cannula vs Other Oxygen Delivery Devices during Bronchoscopy under Sedation: A Systematic Review and Meta-analyses,P. Khanna,2022,NA
item_3VLRCGB8,Use of high-flow nasal cannula versus other noninvasive ventilation techniques or conventional oxygen therapy for respiratory support following pediatric cardiac surgery: A systematic review and meta-analysis,Islam Elmitwalli,2024,"There was no significant difference in the incidence of tracheal reintubation between high-flow nasal cannula and conventional oxygen therapy (risk ratio RR ?0.67, 95% confidence interval CI: 0.24每1.90, p ?.46). However, there was a lower incidence of tracheal reintubation in patients who were extubated to high-flow nasal cannula versus those extubated to noninvasive ventilation techniques (RR ?0.45, 95% CI: 0.32每0.63, p ?.01). The high-flow nasal cannula group also demonstrated a lower mortality rate compared to the noninvasive ventilation techniques group (RR ?0.31, 95% CI: 0.16每0.61, p ?.01) as well as a shorter postoperative length of stay (mean difference ?8.76 days, 95% CI: 13.08 to 4.45, p ?.01) and shorter intensive care length of stay (mean difference ?4.63 days, 95% CI: 9.16 to 0.11, p ?.04). "
item_HTXZS8N2,Utility of high-flow nasal oxygen in comparison to conventional oxygen therapy during upper gastrointestinal endoscopic procedures under sedation: A systematic review and meta-analyses.,Puneet Khanna,2023 Feb,"RESULTS: We retrieved eight randomized control studies and one longitudinal study with 3294 patients. The application of HFNO during endoscopy led to lesser incidence of desaturation spells (odds ratio OR  0.23; 95 CI 0.11-0.48; I(2)  71), reduced procedural interruption (OR  0.11; 95 CI 0.02-0.60; I(2)  88), better nadir SpO(2) level during procedure (mean difference MD  3.16; 95 CI 0.54-5.78; I(2)  73), overall lesser incidence of sedation-related adverse events (OR  0.63; 95 CI 0.42-0.93; I(2)  25), with no significant impact on the duration of endoscopy (MD  0.15; 95 CI - 0.02 to 0.31, I(2)  0)"
